review_id,tanggal,username,review,clean_text,nama_produk,variasi_produk,link_gambar,file_gambar,rating,sentiment,sentiment_numeric
I000360,2024-01-01,A***n,pelayanan gercep,layan gercep,Kaos Polos New States Apparel 7200 Premium Cotton T-shirt,Varian: Red - M,Tidak ada gambar,I000360.jpg,5,Positive,1.0
J000151,2024-01-01,Felix,"berisiko terawang karna bahan tidak setebal yang saya ingat, padahal ini jenis paling tebalnya.. atau saya salah?",risiko terawang karna bahan setebal jenis tebal salah,Kaos Polos New States Apparel 5400 Heavy Cotton T-shirt,Varian: White - L,https://images.tokopedia.net/img/cache/200-square/bjFkPX/2022/11/12/8e09844e-3546-4b0a-867d-b336c006c041.jpg.webp?ect=4g,J000151.jpg,4,Positive,1.0
AI000048,2025-03-12,B***z,"Sesuai ak suka 🥰 
Kurir NY juga baik MKS buat semua ny 
Neks order lagi",sesuai suka kurir mks neks order,KEMEJA/BLOUSE ALIKA RAYON PREMIUM LD 120 CM,Varian: KAVITA - 120,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/992fe1a8dd294b8abe96f10e467a9597.webp?ect=4g,AI000048.jpg,5,Positive,1.0
AX000016,2025-03-09,V***x,Saya kecewa baju nya tipis g tebel,kecewa baju nya tipis tebel,"Paket 3 pcs kaos distro anak branded laki laki dan perempuan usia 3,5-12 tahun Combed 30s Bunda",Varian: 3pcs motif A - XXL,Tidak ada gambar,AX000016.jpg,1,Negative,0.0
P000270,2025-02-01,N***o,Kureng,reng,HAIBRO Kemeja Cove Series Sage Green Polos,Varian: Denim - M,Tidak ada gambar,P000270.jpg,2,Negative,0.0
I000413,2024-01-01,Andrie,keren,keren,Kaos Polos New States Apparel 7200 Premium Cotton T-shirt,Varian: White - L,Tidak ada gambar,I000413.jpg,5,Positive,1.0
AM000015,2024-01-01,@***h,Z pesan 2 baju warna saggex tidak ad padahal pesanx 2 baju yg DTG cmn warna putih menyesal belanja d toko ini tidak amanah,pesan baju warna saggex pesanx baju dtg cmn warna putih sesal belanja toko amanah,KEMEJA OVAL CRINKLE AIRFLOW PREMIUM BY AS3,Varian: Sagge - M,https://images.tokopedia.net/img/cache/200-square/dx0w9n/1997/1/1/883cb0c72b0741e3a03c36ae1fa1372d.webp?ect=4g,AM000015.jpg,1,Negative,0.0
W000309,2024-10-01,F***y,"Warnya tdk hitam pekat, saat terkena cahaya akan sedikit kehijauan",warnya tdk hitam pekat kena cahaya hijau,House of Smith Bomber Jacket Bomen Black #5 - Jaket Bomber Pria Hitam,Varian: M,"https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",W000309.jpg,5,Positive,1.0
AA000014,2024-01-01,jusdhi,"celana chinosnya tidak sesuai dengan size dalam diskripsi. size 34 real 39. kelebihan 1-2cm its oke lah. kalau lebih ya harus ngecilin lg. sebelum e beli size 36, krn siz...",celana chinosnya sesuai size skripsi size real lebih its oke ngecilin beli size krn siz,Aerostreet Chinos Panjang Elvano Hitam Celana Chino EAAAA,Varian: 34,Tidak ada gambar,AA000014.jpg,1,Negative,0.0
AP000009,2024-05-01,R****,Model leher beda bulat bkn V trus ga bs masuk kepalaku. Trus bawahnya jg tidak ada belahan.... Mengecewakan,model leher beda bulat bkn trus masuk kepala trus bawah bahan kecewa,HSS - Vivi midi dress knit,Varian: Hitam Vivi Midi,Tidak ada gambar,AP000009.jpg,2,Negative,0.0
AZ000023,2025-03-13,N***b,"Kak warna nya ko beda, saya kan beli nya warna khaky, ko dateng nya warna crime tolong di jawab🙏",kak warna nya beda beli nya warna khaky dateng nya warna crime tolong,RANIA ONE SET-Setelan celana dan atasan katun toyobo anak usia 0-10 tahun,Varian: Rania Khaky - XL,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/16efa0dbec7640d2a4f88e591aea0fc3.webp?ect=4g,AZ000023.jpg,1,Negative,0.0
C000043,2025-02-01,*****,Bahan jelek nerawang,bahan jelek nerawang,COZYCLUB Long Sleeve Linen Shirt | Kemeja Pria Kerah Lengan Panjang Baju Dark Grey Beige,Varian: Broken White - M,Tidak ada gambar,C000043.jpg,1,Negative,0.0
AB000061,2025-01-01,Yanuar,Sesuai deskripsi,sesuai deskripsi,Aerostreet Chinos Panjang Elvano Krem Celana Chino EAAAA,Varian: 32,Tidak ada gambar,AB000061.jpg,5,Positive,1.0
N000447,2025-03-08,V***h,Baru dateng paketnya.bagus adem bahannya keren lah pokoknya,dateng paketnyabagus adem bahan keren pokok,"Novie Baju Blouse Cringkle Atasan Wanita Lengan Panjang Katun Polos,Blouse Wanita Kekinian Airflow Muda Crinkle Oversize atasan tulle Nyaman atasan korea Linen",Varian: Jotol/tosca - All Size,Tidak ada gambar,N000447.jpg,5,Positive,1.0
AG000067,2025-02-01,M***Y,Buruk baju bagian bawah blom dijahit,buruk baju blom jahit,Kaos Oversize Lengan 7/8 Wanita T-shirt Wanita Lengan 3/4 Slit Atasan Rayon Belah Samping Basic Baju Panjang Top Polos Oval murah,Varian: Magenta - L ( LD 100-120Cm ),Tidak ada gambar,AG000067.jpg,1,Negative,0.0
AF000296,2024-01-01,Rendy,bagus pas dipake.. bahan juga halus. terimakasih.,bagus pas dipake bahan halus terimakasih,Aerostreet Chinos Panjang Elvano Hijau Army Celana Chino EAAAA,Varian: 34,Tidak ada gambar,AF000296.jpg,5,Positive,1.0
AS000001,2025-03-08,B***l,Tidak puas kk order wrn putih yg dtng ijo,puas order wrn putih dtng ijo,Kayla Tunik Jaring Rajut Outer Dress Rajut Wanita,Varian: PUTIH,Tidak ada gambar,AS000001.jpg,1,Negative,0.0
AF000120,2024-07-01,I***I,Oks,oks,Aerostreet Chinos Panjang Elvano Hijau Army Celana Chino EAAAA,Varian: 34,Tidak ada gambar,AF000120.jpg,5,Positive,1.0
P000027,2025-03-13,Q***f,kureng 😙,reng,HAIBRO Kemeja Cove Series Sage Green Polos,Varian: Army - M,Tidak ada gambar,P000027.jpg,1,Negative,0.0
W000131,2025-01-01,P***n,Kerennnn,kerennnn,House of Smith Bomber Jacket Bomen Black #5 - Jaket Bomber Pria Hitam,Varian: L - Black,Tidak ada gambar,W000131.jpg,5,Positive,1.0
AQ000052,2024-06-01,R***~,Jelek anjy baju bekas itu mh mna punya orang pula 😭,jelek anjy baju bekas mna orang,JUMPSUIT / OVERALL LIVE KODE A (1-100),Varian: KODE A54,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/63c530eddd8a4ee196f146f67962fba9.webp?ect=4g,AQ000052.jpg,1,Negative,0.0
AW000121,2025-01-01,i***7,Alhamdulillah barang sudah Dateng kak..,alhamdulillah barang dateng kak,celana panjang anak laki-laki model cargo umur 5 sampai 15 tahun,Varian: abu - 12 tahun,Tidak ada gambar,AW000121.jpg,2,Negative,0.0
AR000026,2024-06-01,w***a,baju nya rusak,baju nya rusak,INNER KNIT PASTEL - LONG DRESS INNER,Varian: INNER BUSUI BB 40-65kg HITAM - allsize,Tidak ada gambar,AR000026.jpg,1,Negative,0.0
Y000031,2025-03-08,D***p,"foto mengambarkan keaadaan barang,serat jaket nya rontok ke baju,putih2,
sangat tidak sesuai haraga,
tipis
kapok beli barang online",foto ambar keaadaan barangserat jaket nya rontok bajuputih sesuai haraga tipis kapok beli barang online,House Of Smith Lpl Misty #26 - Sweater Hoodie Casual Pria Fleece,Varian: XL,"https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/40fcb0e95b5749239cb2bbbe77abfa83.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/0a0917711a4f49a8bb31ba4ce4645cc4.webp?ect=4g",Y000031.jpg,1,Negative,0.0
H000030,2025-01-01,T***S,Bahan jelek. Jahitan parah. 😒😒,bahan jelek jahit parah,Cessie Blouse Wanita Airflow Atasan Crinkle Baju Big Size,Varian: Maroon - Size Jumbo,Tidak ada gambar,H000030.jpg,1,Negative,0.0
C000013,2025-03-09,R***s,"Bahannya tipis , nerawang",bahan tipis nerawang,COZYCLUB Long Sleeve Linen Shirt | Kemeja Pria Kerah Lengan Panjang Baju Dark Grey Beige,Varian: Broken White - XXL,Tidak ada gambar,C000013.jpg,2,Negative,0.0
P000230,2025-02-01,J***,Gak suka sama bahannya😭😭😭,gak suka bahan,HAIBRO Kemeja Cove Series Sage Green Polos,Varian: Abu Tua - XL,Tidak ada gambar,P000230.jpg,1,Negative,0.0
Z000254,2025-01-01,TOYIB,Terimakasih sudah langganan bahan halus...semoga sukses dan sehat selalu 🙏,terimakasih langgan bahan halussemoga sukses sehat,Aerostreet T Shirt Reguler Polos Gelap Kaos T-Shirt Tshirt KAAAA,Varian: Sage Green - L,https://images.tokopedia.net/img/cache/200-square/bjFkPX/2024/12/21/7638de9f-0958-4c79-84cf-2b1202fb44c3.jpg.webp?ect=4g,Z000254.jpg,5,Positive,1.0
W000096,2025-02-01,eko,mntp,mntp,House of Smith Bomber Jacket Bomen Black #5 - Jaket Bomber Pria Hitam,Varian: M,Tidak ada gambar,W000096.jpg,5,Positive,1.0
M000031,2024-06-01,T***S,"Sesuai harga lah ya mungkin, bahannya tipis, nerawang, tipis banget, kain kasar. Minta refund ditolak terus",sesuai harga bahan tipis nerawang tipis banget kain kasar refund tolak,4 Pcs 100 Ribu | Kaos Pocket Saku MBN Pria Wanita | Kaos Polos | Kaos Lengan Pendek Santai,Varian: 4 PCS WARNA RANDOM - XXXL,"https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/a23c2e5064bf4934b2db9ed3c6506aac.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/789f882f5e114122a8c3be2dcdb14bd2.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/0ec42b98c0f94db381a47e01d9361aa5.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/0e9d3cbd1a404bcb895cdf9736617817.webp?ect=4g",M000031.jpg,1,Negative,0.0
AH000349,2025-01-01,a***a,Sepertinya barang yg dikirim bukan barang yg dipesan,barang kirim barang pes,[1-100] Atasan Kemeja dan Blouse Santai Elegan - Nyaman,Varian: 66,Tidak ada gambar,AH000349.jpg,1,Negative,0.0
L000431,2024-01-01,bambangQQryan,"celana ukuran benar bhn cukup bagus jahitan rapi, oke ,good seller",celana ukur bhn bagus jahit rapi oke good seller,CELANA PANJANG JEANS PRIA STRETCH,Varian: Hitam - 36,Tidak ada gambar,L000431.jpg,5,Positive,1.0
AO000012,2025-03-08,H***a,"Sia sia ikut PO, Masa Di kirimnya Baju Yang jahitanNya asal²an.
Bisa²nya Lengan bagian Pundak terbalik Kyak gitu. 
Harusnya sebelum di kirim Itu di cek dulu, Murah sih mu...",sia sia kirim baju jahit asal bisa lengan pundak balik kyak gitu kirim cek murah sih,QOME - DRESS BAHAN CERUTI / DRESS NAOMI / DRESS KONDANGAN /DRESS PESTA / DRESS FORMAL Mewah,Varian: bergundy - L (LD 110),"https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/abcd60d80cb64395a341c62b596eb350.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/589e483a49264b809dd40c39dd314514.webp?ect=4g",AO000012.jpg,1,Negative,0.0
J000095,2024-01-01,M***M,okay lah untuk harganya,okay harga,Kaos Polos New States Apparel 5400 Heavy Cotton T-shirt,Varian: White - XXL,Tidak ada gambar,J000095.jpg,5,Positive,1.0
AJ000047,2025-01-01,N***i,"mintanya pinksalem kirimnya item...
tolong lebih teliti lagii",minta pinksalem kirim item tolong teliti lagi,"KEMEJA WANITA , KEMEJA RAYON ORI PREMIUM, KEMEJA WANITA KEKINIAN, KEMEJA WANITA MURAH Oversize",Varian: Pink salem - XL (LD 120cm),https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/91068be81fb34eab933ac69786c3b8b1~.webp?ect=4g,AJ000047.jpg,2,Negative,0.0
O000335,2025-03-01,b***a,Produk bagus rekomended banget pengiriman cepat,produk bagus rekomended banget kirim cepat,Rok PANJANG Plisket BB WAVY / Rok BB Wavy / rok plisket bb wavy (036),Varian: Khaki,Tidak ada gambar,O000335.jpg,5,Positive,1.0
S000369,2024-01-01,A***l,bagus,bagus,"Jaket Semi Parka, Kemeja Semi Parka, Canvas Trucker",Varian: Grey - M,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,S000369.jpg,5,Positive,1.0
AX000031,2025-02-22,d***h,"Tidak sesuai expetasi
Bahan: Kurang wortid",sesuai expetasi bahan wortid,"Paket 3 pcs kaos distro anak branded laki laki dan perempuan usia 3,5-12 tahun Combed 30s Bunda",Varian: 3pcs motif J - M,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/20fec60d80f841c8b4fa8d77230c3106.webp?ect=4g,AX000031.jpg,2,Negative,0.0
Z000071,2025-02-22,Bona,kekecilan,kecil,Aerostreet T Shirt Reguler Polos Gelap Kaos T-Shirt Tshirt KAAAA,Varian: Sage Green - M,Tidak ada gambar,Z000071.jpg,5,Positive,1.0
AM000010,2024-01-01,N***a,"Pesan 3 pcs yg datang 2 pcs ja, warna Denim yg nga ada KECEWA walaupun nga mahal sih tapi harus di perhatikan dong pesananx 🙏",pesan pcs pcs warna denim nga kecewa nga mahal sih perhati pesananx,KEMEJA OVAL CRINKLE AIRFLOW PREMIUM BY AS3,Varian: Denim - M,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,AM000010.jpg,2,Negative,0.0
P000056,2025-03-10,D***d,Tipis banget.bahan tdk sesuai dengan harga... Pdhal mahal kecewa banget,tipis bangetbahan tdk sesuai harga pdhal mahal kecewa banget,HAIBRO Kemeja Cove Series Sage Green Polos,Varian: Taro - XXL,Tidak ada gambar,P000056.jpg,1,Negative,0.0
R000322,2024-01-01,Rafsanjani,"mantep bahannya, pembelian kedua dan produknya mantepp bangeettt!!🎉🎉🎉 Ukurannya pas Ukurannya terlalu besar",mantep bahan beli produk mantepp bangeettt ukur pas ukur,Jaket Bomber Ribsgold Series,Varian: BomberBlack - XL,https://images.tokopedia.net/img/cache/200-square/bjFkPX/2023/8/15/98658597-3325-4764-8997-929672202266.jpg.webp?ect=4g,R000322.jpg,5,Positive,1.0
AQ000004,2025-02-22,M****,Biasa aja,aja,JUMPSUIT / OVERALL LIVE KODE A (1-100),Varian: KODE A50,Tidak ada gambar,AQ000004.jpg,2,Negative,0.0
M000001,2025-03-15,Q***r,Bagus suka dengan kaos nya,bagus suka kaos nya,4 Pcs 100 Ribu | Kaos Pocket Saku MBN Pria Wanita | Kaos Polos | Kaos Lengan Pendek Santai,Varian: 4 PCS TULIS DI PESAN OPSIONAL - L,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/5dcdcddb86cc4cca9338e2bcdb224d18.webp?ect=4g,M000001.jpg,4,Positive,1.0
Z000395,2024-12-01,kamin,bahan tebal halus dingin dipakai,bahan tebal halus dingin pakai,Aerostreet T Shirt Reguler Polos Gelap Kaos T-Shirt Tshirt KAAAA,Varian: Hitam - L,https://images.tokopedia.net/img/cache/200-square/bjFkPX/2024/11/25/aeeed670-c029-45b0-ba5c-afcaf698f489.jpg.webp?ect=4g,Z000395.jpg,5,Positive,1.0
E000142,2024-11-01,*****,"GILAAA PENGIRIMAN NYA CPTT,SWEATER NYA CAKEPP JUGAAA pokoknyaaa bintangg limaa..",gilaaa kirim nya cpttsweater nya cakepp jugaaa pokoknyaaa bintangg limaa,Sweater XXXL Oversize Sweater Oblong Wanita Bigsize Atasan Crewneck Nyaman Bahan Fleece Sweatshirt Baju Basic Panjang Hoodie,Varian: Capucino,"https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/35709bd9a69044a9ba75912e52a9e826.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/89309b90a987499c83b1d0278a282848.webp?ect=4g",E000142.jpg,5,Positive,1.0
M000047,2024-03-01,T***S,Barang blm nyampe ????,barang blm nyampe,4 Pcs 100 Ribu | Kaos Pocket Saku MBN Pria Wanita | Kaos Polos | Kaos Lengan Pendek Santai,Varian: 4 PCS WARNA RANDOM - L,Tidak ada gambar,M000047.jpg,1,Negative,0.0
W000002,2025-03-10,O***e,Kurang memuaskan produknya sleting nya hilo/jungjat,muas produk sleting nya hilojungjat,House of Smith Bomber Jacket Bomen Black #5 - Jaket Bomber Pria Hitam,Varian: M - Black,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/92002680be894381a61e3117c7d51d79.webp?ect=4g,W000002.jpg,2,Negative,0.0
P000101,2025-03-14,H***i,bagus,bagus,HAIBRO Kemeja Cove Series Sage Green Polos,Varian: Milo - XXL,Tidak ada gambar,P000101.jpg,5,Positive,1.0
AO000006,2025-03-10,D***v,Sangat kecewa minta burgandi dikasih marun,kecewa burgandi kasih marun,QOME - DRESS BAHAN CERUTI / DRESS NAOMI / DRESS KONDANGAN /DRESS PESTA / DRESS FORMAL Mewah,Varian: bergundy - XL (LD 120),Tidak ada gambar,AO000006.jpg,1,Negative,0.0
B000009,2025-03-12,V***k,G suka bahan nya jelek banget 👎👎👎👎,suka bahan nya jelek banget,Baju Anak Perempuan - (Ready Stock) Dress Anak Perempuan Aubu Karakter kartun LBB Terlaris / Fashion Dress Anak DTF Monster Lucu Terbaru,Varian: PINK TWINS GIRL - S,Tidak ada gambar,B000009.jpg,1,Negative,0.0
R000225,2024-01-01,Farid,"Sesuai deskripsi, qualitynya worth it dengan harga, respon admin & sellernya bagus, pengemasan juga cepat, cuma ukuran L nya kaya XL, biasanya LB 54cm pas dibadan, ta...",sesuai deskripsi qualitynya worth harga respon admin sellernya bagus emas cepat ukur nya kaya pas bad,Jaket Bomber Ribsgold Series,Varian: BomberArmy - L,Tidak ada gambar,R000225.jpg,5,Positive,1.0
Z000085,2025-02-15,C***a,"barang sesuai dengan deskripsi dan sampai tepat waktu , ca3p",barang sesuai deskripsi cap,Aerostreet T Shirt Reguler Polos Gelap Kaos T-Shirt Tshirt KAAAA,Varian: NAVY GELAP - L,https://images.tokopedia.net/img/cache/200-square/bjFkPX/2025/2/14/faa5935f-0a88-45eb-be10-f7c50b3c4748.jpg.webp?ect=4g,Z000085.jpg,5,Positive,1.0
A000283,2024-01-01,sayu,bagussss..... next beli lagi. pengiriman juga cepat...,bagussss next beli kirim cepat,KAOS POLOS WANITA COTTON COMBED 30S BAJU KAOS POLOS CEWEK SIZE XS - XL,Varian: M,Tidak ada gambar,A000283.jpg,5,Positive,1.0
P000148,2025-03-01,B***p,Marketing yg sangat bagus🫡,marketing bagus,HAIBRO Kemeja Cove Series Sage Green Polos,Varian: Army - L,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/3a54d7cf3a32469cb7a8e5171012f1d1.webp?ect=4g,P000148.jpg,1,Negative,0.0
I000361,2024-01-01,Wildan,Ukurannya pas,ukur pas,Kaos Polos New States Apparel 7200 Premium Cotton T-shirt,Varian: Maroon - XL,Tidak ada gambar,I000361.jpg,5,Positive,1.0
N000062,2025-02-01,â***³,"Tidak sesuai deng yg d sarankan, soal size BB 49 TB 150 , pake size M trnyata size M nya segede Gaban , wkwkw Aturan size M lingkar dada 120 , dimana "" Lingkar dada 1...",sesuai deng saran size pake size trnyata size nya gede gaban wkwkw atur size lingkar dada mana lingkar dada,"Novie Baju Blouse Cringkle Atasan Wanita Lengan Panjang Katun Polos,Blouse Wanita Kekinian Airflow Muda Crinkle Oversize atasan tulle Nyaman atasan korea Linen",Varian: Putih - All Size,"https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/e443a9f3eda5489d98c79d5019270205~.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/cff3d225e08a4986809583c40bb88b6e~.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/d8007f2d9be74e55afae7553401d1f1d~.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/6dc5fd46f7a54d18b94302b1d6ada849~.webp?ect=4g",N000062.jpg,1,Negative,0.0
AI000493,2025-02-15,A***a,Bajunya 👍,baju,KEMEJA/BLOUSE ALIKA RAYON PREMIUM LD 120 CM,Varian: KAVITA - 120,Tidak ada gambar,AI000493.jpg,5,Positive,1.0
H000082,2025-03-01,T***g,Kk ini kan maunya warna maroon kenapa Yang di kirim coklat 🥲🥲😔😔😔 kecewa banget,mau warna maroon kirim coklat kecewa banget,Cessie Blouse Wanita Airflow Atasan Crinkle Baju Big Size,Varian: Maroon - Size Normal,"https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/48b02b0d06bf48458238b115cac5484e.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/5c4aae95bcdc499b8b28c49305b59b22.webp?ect=4g",H000082.jpg,1,Negative,0.0
AG000012,2025-03-15,D***x,Waw bgus bnget,waw bgus bnget,Kaos Oversize Lengan 7/8 Wanita T-shirt Wanita Lengan 3/4 Slit Atasan Rayon Belah Samping Basic Baju Panjang Top Polos Oval murah,Varian: Lemon - XXL ( 120-140Cm ),Tidak ada gambar,AG000012.jpg,5,Positive,1.0
AJ000493,2025-03-01,H***b,Bagusss bangetttttt sumpahhhhh💖💖💖,bagusss bangetttttt sumpahhhhh,"KEMEJA WANITA , KEMEJA RAYON ORI PREMIUM, KEMEJA WANITA KEKINIAN, KEMEJA WANITA MURAH Oversize",Varian: Pink salem - L (LD 105cm),https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/4fdcb97a295c497d8a09390f9f44f5ce~.webp?ect=4g,AJ000493.jpg,5,Positive,1.0
AT000086,2025-02-01,1****,Keeeceeeewaaaaaa,keeeceeeewaaaaaa,Faradina Exclusive Listya Dress Gamis Motif Premium Aksen List Busui Friendly Diamond Muslim,Varian: MT Ice Blue,Tidak ada gambar,AT000086.jpg,1,Negative,0.0
AT000001,2025-03-15,M***w,"seller sgt tdk informatif, brg tdk ada dipaket yg dikirimkan",seller sgt tdk informatif brg tdk paket kirim,Faradina Exclusive Listya Dress Gamis Motif Premium Aksen List Busui Friendly Diamond Muslim,Varian: BD Cream,Tidak ada gambar,AT000001.jpg,1,Negative,0.0
AJ000176,2025-03-10,B***p,Beneran baguuuuus mau co warna lain lagiii👌,beneran baguuuuus warna lagiii,"KEMEJA WANITA , KEMEJA RAYON ORI PREMIUM, KEMEJA WANITA KEKINIAN, KEMEJA WANITA MURAH Oversize",Varian: Mocca - L (LD 105cm),Tidak ada gambar,AJ000176.jpg,5,Positive,1.0
Q000036,2024-08-01,Tohir,"pelayanan baik, barang sesuai spek",layan barang sesuai spek,Parayu - Jas Blazer Vali Jas Pria Formal Kancing Satu Slim Fit,Varian: Hitam - XL,Tidak ada gambar,Q000036.jpg,5,Positive,1.0
Z000013,2024-09-01,Calon,kapok belanja di sini!!,kapok belanja,Aerostreet T Shirt Reguler Polos Gelap Kaos T-Shirt Tshirt KAAAA,Varian: Hitam - XL,Tidak ada gambar,Z000013.jpg,1,Negative,0.0
Z000440,2024-11-01,k***l,pas di badan bagus juga bahan nya,pas badan bagus bahan nya,Aerostreet T Shirt Reguler Polos Gelap Kaos T-Shirt Tshirt KAAAA,Varian: HIJAU ARMY - XXL,"https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",Z000440.jpg,5,Positive,1.0
